section,in_resume,title,institution,loc,start,end,description_1,description_2,description_3
education,TRUE,MS. Program Evaluation and Data Analytics (candidate),Arizona State University,"Tempe, AZ",2024,2025,"Analysis and Visualization skills in R, Tableau and Python",,NA
education,TRUE,BA. Economics (minor Sociology),University of Kansas,"Lawrence, KS",2007,2011,NA,NA,NA
education,TRUE,Secondary Teaching Certificate - Math,Rio Salado College,"Tempe, AZ",2014,2016,,,
teaching_positions,TRUE,Mathematics Instructor,Flagstaff Unified School District,"Flagstaff, AZ",2021,2024,Taught middle and high school math at Title 1 schools,,
teaching_positions,TRUE,Teacher,Flagstaff Junior Academy,"Flagstaff, AZ",2015,2021,Taught middle school math and physical education,,
teaching_positions,TRUE,Tutor Supervisor,Northern Arizona University,"Flagstaff, AZ",2024,2025,Trained and Supervised ~55 undergraduate math tutors,,
conference_presentations,TRUE,Peer Leadership Programming in Undergraduate Math Tutoring Centers,ArizMATYC,"Tucson, AZ",2024,2024,Conference Presentation,,
certifications,TRUE,Certified Supervisor,Academic Impressions,,2024,2024,Semester length training for higher education administration,,
certifications,TRUE,Wilderness First Responder,NOLS,Various,2013,2024,Advanced Wilderness First Aid for backcountry environments,,
fill,TRUE,Maybe some day I will publish an academic paper,Northern Arizona University,"Flagstaff, AZ",2010,2012,It would be great to do a deep data dive into math curriculum efficacy,,
fill,TRUE,Some Text,Getting to a second page,,,,What would happen if there was no date at all?,,
